dice:0.34414003344613764, jaccard:0.29671105328153446, accuracy:0.9946223025110345, hd95:nan, asd:nan
dice:0.28550909139531694, jaccard:0.23453160946699056, accuracy:0.9917600364178415, hd95:nan, asd:nan
dice:0.3135380242413538, jaccard:0.2677312332219645, accuracy:0.9933181233803047, hd95:nan, asd:nan
dice:0.34054007857849034, jaccard:0.29447542633045154, accuracy:0.995042213313897, hd95:nan, asd:nan
dice:0.3333384359491346, jaccard:0.28635577354499814, accuracy:0.9947700759991495, hd95:nan, asd:nan
dice:0.31437674261237036, jaccard:0.26878831138392817, accuracy:0.9945855271982303, hd95:nan, asd:nan
dice:0.3373638154145337, jaccard:0.2927943980760361, accuracy:0.9950266332351393, hd95:nan, asd:nan
dice:0.3463510576519251, jaccard:0.301998949630886, accuracy:0.9950386939560057, hd95:nan, asd:nan
dice:0.36186595676395356, jaccard:0.3166939708347048, accuracy:0.9956272966776, hd95:nan, asd:nan
dice:0.3493179898821793, jaccard:0.30687727012427957, accuracy:0.9960785653547132, hd95:nan, asd:nan
dice:0.3547213851207572, jaccard:0.3129584722886037, accuracy:0.995973142791343, hd95:nan, asd:nan
dice:0.3295415891402242, jaccard:0.28964640867864205, accuracy:0.9962504207412131, hd95:nan, asd:nan
dice:0.3598367918201406, jaccard:0.3158049510521809, accuracy:0.9958967845880918, hd95:nan, asd:nan
dice:0.28208090803539165, jaccard:0.2338673272991507, accuracy:0.9924551689165259, hd95:nan, asd:nan
dice:0.3174908405569195, jaccard:0.27229003302126303, accuracy:0.9942252082194484, hd95:nan, asd:nan
dice:0.31890481060456455, jaccard:0.26971665878386175, accuracy:0.9941284456490932, hd95:nan, asd:nan
dice:0.3395865749552342, jaccard:0.29619394471717125, accuracy:0.9957890289672415, hd95:nan, asd:nan
dice:0.3435972303256846, jaccard:0.30032574572797116, accuracy:0.9955718964483112, hd95:nan, asd:nan
dice:0.34422234111606315, jaccard:0.2987672797820904, accuracy:0.9949849150039481, hd95:nan, asd:nan
dice:0.3588530192138023, jaccard:0.31653173109110205, accuracy:0.9955586098836855, hd95:nan, asd:nan
dice:0.3181632561694938, jaccard:0.26638969198662216, accuracy:0.9928518677746396, hd95:nan, asd:nan
dice:0.3409411974775595, jaccard:0.29742405652920695, accuracy:0.9960095622140223, hd95:nan, asd:nan
dice:0.34865386228260425, jaccard:0.30377045985365775, accuracy:0.9952256153577506, hd95:nan, asd:nan
dice:0.34461750857326834, jaccard:0.30323082621055436, accuracy:0.996107471541444, hd95:nan, asd:nan
dice:0.343696032154301, jaccard:0.30394147949560796, accuracy:0.9965186037212508, hd95:nan, asd:nan
dice:0.3548453587604372, jaccard:0.3175127364605894, accuracy:0.9969806281887751, hd95:nan, asd:nan
dice:0.34276346213968556, jaccard:0.3048104179655268, accuracy:0.9966207046434647, hd95:nan, asd:nan
dice:0.3387205999702298, jaccard:0.30087584121800715, accuracy:0.9962670289469951, hd95:nan, asd:nan
dice:0.34860637211378254, jaccard:0.3075406526842858, accuracy:0.9955419621345564, hd95:nan, asd:nan
dice:0.3716760663109925, jaccard:0.33194025454437004, accuracy:0.9969398589979142, hd95:nan, asd:nan
dice:0.3570032748620805, jaccard:0.32051235769998165, accuracy:0.9970520039302925, hd95:nan, asd:nan
dice:0.36063218581561013, jaccard:0.3239071589368271, accuracy:0.9970744645514455, hd95:nan, asd:nan
dice:0.35353901964560347, jaccard:0.3196383869559405, accuracy:0.9972199445254294, hd95:nan, asd:nan
dice:0.38463218724696724, jaccard:0.34710055194368067, accuracy:0.9971747464796931, hd95:nan, asd:nan
dice:0.3660277371477074, jaccard:0.33151169437971584, accuracy:0.997189021627996, hd95:nan, asd:nan
dice:0.38573094501390065, jaccard:0.3511154928014964, accuracy:0.9973417380344997, hd95:nan, asd:nan
dice:0.3795391067898193, jaccard:0.3455674334868542, accuracy:0.9975980580104072, hd95:nan, asd:nan
dice:0.3843664358882419, jaccard:0.35103154966921213, accuracy:0.9975770209497486, hd95:nan, asd:nan
dice:0.37189410514947663, jaccard:0.3404190580143006, accuracy:0.9976296136013931, hd95:nan, asd:nan
dice:0.36388035017851095, jaccard:0.3323208950318423, accuracy:0.9975425786944243, hd95:nan, asd:nan
