dice:0.12202584816785807, jaccard:0.10558933787339368, accuracy:0.9972371458814184, hd95:nan, asd:nan
dice:0.15125894047978317, jaccard:0.1288478746037303, accuracy:0.9973347388620628, hd95:nan, asd:nan
dice:0.1435895725913492, jaccard:0.1267924567439576, accuracy:0.9974071822739515, hd95:nan, asd:nan
dice:0.1680989395612017, jaccard:0.1480355654402159, accuracy:0.9976295740580461, hd95:nan, asd:nan
dice:0.10235818606602128, jaccard:0.09019392261747348, accuracy:0.9971327909884189, hd95:nan, asd:nan
dice:0.11654121670457064, jaccard:0.10140211849364367, accuracy:0.9972326774831958, hd95:nan, asd:nan
dice:0.15612295497948145, jaccard:0.13503465483344862, accuracy:0.9975038657576126, hd95:nan, asd:nan
dice:0.17953603032000814, jaccard:0.15885849122100162, accuracy:0.9976498597951088, hd95:nan, asd:nan
dice:0.17930901438126245, jaccard:0.15472726513196328, accuracy:0.9976596665451894, hd95:nan, asd:nan
dice:0.1734047670044982, jaccard:0.1517944656131533, accuracy:0.9975493406067782, hd95:nan, asd:nan
dice:0.03883979887144297, jaccard:0.03411183069287677, accuracy:0.9966963906098154, hd95:nan, asd:nan
dice:0.02320491848135075, jaccard:0.019216755749800047, accuracy:0.9965329974995955, hd95:nan, asd:nan
dice:0.08847001134439471, jaccard:0.07594877929133964, accuracy:0.9970171662414968, hd95:nan, asd:nan
dice:0.14886707773326985, jaccard:0.1294441655481952, accuracy:0.9974849244943513, hd95:nan, asd:nan
dice:0.15840710999951318, jaccard:0.1394257324851967, accuracy:0.9974921213835239, hd95:nan, asd:nan
dice:0.1774174155367654, jaccard:0.15705827652506946, accuracy:0.997618462377511, hd95:nan, asd:nan
dice:0.18863822779691414, jaccard:0.16961942707864855, accuracy:0.9977656031720727, hd95:nan, asd:nan
dice:0.12423415863767293, jaccard:0.10767001567986215, accuracy:0.997303341444465, hd95:nan, asd:nan
dice:0.17758580657632803, jaccard:0.15849726616187304, accuracy:0.9977033224003887, hd95:nan, asd:nan
dice:0.13291740229642174, jaccard:0.11908544185059769, accuracy:0.9974008948817624, hd95:nan, asd:nan
dice:0.1744462195234561, jaccard:0.15377911177804124, accuracy:0.9977277601888968, hd95:nan, asd:nan
dice:0.1971379215238764, jaccard:0.17544301360035333, accuracy:0.9979962595157111, hd95:nan, asd:nan
dice:0.20773848135682288, jaccard:0.18590130495956222, accuracy:0.9980728549790452, hd95:nan, asd:nan
dice:0.1994647810054083, jaccard:0.1785194583015338, accuracy:0.9981347007739111, hd95:nan, asd:nan
dice:0.20295020246042159, jaccard:0.18193362865081764, accuracy:0.9980766906837142, hd95:nan, asd:nan
dice:0.20545196821256212, jaccard:0.1827361795012204, accuracy:0.997957902469023, hd95:nan, asd:nan
dice:0.21100906506612382, jaccard:0.1894296051502318, accuracy:0.9981188438917233, hd95:nan, asd:nan
dice:0.21275628662993912, jaccard:0.18723775349633842, accuracy:0.9981743627510529, hd95:nan, asd:nan
dice:0.20999349084680985, jaccard:0.18773593552098916, accuracy:0.9981142964068067, hd95:nan, asd:nan
dice:0.21219493070725345, jaccard:0.18737637228804224, accuracy:0.9982135106646827, hd95:nan, asd:nan
dice:0.2294449657421267, jaccard:0.20613104629169304, accuracy:0.9983398912020169, hd95:nan, asd:nan
dice:0.2243949223296515, jaccard:0.199284745118026, accuracy:0.9984020533436584, hd95:nan, asd:nan
dice:0.22653067011887282, jaccard:0.20204134885172464, accuracy:0.9985021770985183, hd95:nan, asd:nan
dice:0.2478913570036336, jaccard:0.22344865193948132, accuracy:0.9985871952947845, hd95:nan, asd:nan
dice:0.244002190990365, jaccard:0.21941743822978554, accuracy:0.9986061365580458, hd95:nan, asd:nan
dice:0.23008491474033216, jaccard:0.20448923992315918, accuracy:0.9986444540613865, hd95:nan, asd:nan
dice:0.23937005063217406, jaccard:0.2132834713539129, accuracy:0.9986778681896867, hd95:nan, asd:nan
