dice:0.0472488140558069, jaccard:0.037603393548711714, accuracy:0.9950335533208818, hd95:nan, asd:nan
dice:0.02732228103889958, jaccard:0.023774721756740183, accuracy:0.9949093081242912, hd95:nan, asd:nan
dice:0.017831293750981577, jaccard:0.015092432313321165, accuracy:0.9948614211309522, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9946578124367307, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9946578124367306, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9946578124367308, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9946578124367303, hd95:nan, asd:nan
dice:0.022921229754135856, jaccard:0.01726001968486182, accuracy:0.9948429543878563, hd95:nan, asd:nan
dice:0.058255260296387223, jaccard:0.04912518264331359, accuracy:0.9951495339579287, hd95:nan, asd:nan
dice:0.026787917192685213, jaccard:0.023068716445290835, accuracy:0.9949481396911446, hd95:nan, asd:nan
dice:0.06050065939487571, jaccard:0.04759182515793657, accuracy:0.995159577968092, hd95:nan, asd:nan
dice:0.03758906230283232, jaccard:0.03300522435574804, accuracy:0.9951569285638363, hd95:nan, asd:nan
dice:0.07555480943945232, jaccard:0.06705629002447351, accuracy:0.995381060255203, hd95:nan, asd:nan
dice:0.12171550201619803, jaccard:0.10868189693077025, accuracy:0.995821019535046, hd95:nan, asd:nan
dice:0.09204937478433585, jaccard:0.07724971656842616, accuracy:0.9955244048884434, hd95:nan, asd:nan
dice:0.1238855140680913, jaccard:0.11235707624661266, accuracy:0.9958967450447442, hd95:nan, asd:nan
dice:0.008469331407356165, jaccard:0.006672874222917552, accuracy:0.9947351592236596, hd95:nan, asd:nan
dice:0.0, jaccard:0.0, accuracy:0.9946578124367306, hd95:nan, asd:nan
dice:0.07212778466282481, jaccard:0.061713648634236326, accuracy:0.9953369298798387, hd95:nan, asd:nan
dice:0.12094685560529184, jaccard:0.10682055592931657, accuracy:0.9958082074905853, hd95:nan, asd:nan
dice:0.12976390524355838, jaccard:0.12039118313420323, accuracy:0.9959111388230887, hd95:nan, asd:nan
dice:0.13130488782613195, jaccard:0.12048809669863102, accuracy:0.9959953661524131, hd95:nan, asd:nan
dice:0.11920707191278217, jaccard:0.10892189178162168, accuracy:0.9958874523581753, hd95:nan, asd:nan
dice:0.1404825743276208, jaccard:0.1284588956025445, accuracy:0.9960209111546401, hd95:nan, asd:nan
dice:0.11736108344047919, jaccard:0.10638154192569992, accuracy:0.9957280531260122, hd95:nan, asd:nan
dice:0.11167641920917727, jaccard:0.10483273624802485, accuracy:0.9956747091507735, hd95:nan, asd:nan
dice:0.08883874620555939, jaccard:0.07963792538019193, accuracy:0.9955458769259191, hd95:nan, asd:nan
dice:0.09428633328187859, jaccard:0.08702583210003755, accuracy:0.9956868885016804, hd95:nan, asd:nan
dice:0.13574328048443982, jaccard:0.12690521951551595, accuracy:0.9960059242260894, hd95:nan, asd:nan
dice:0.12587867105476575, jaccard:0.11560750941858891, accuracy:0.995947281442339, hd95:nan, asd:nan
dice:0.12631722061098752, jaccard:0.1177379459290949, accuracy:0.9959526197941974, hd95:nan, asd:nan
dice:0.14503427470845537, jaccard:0.1350824475906519, accuracy:0.9961532231940394, hd95:nan, asd:nan
dice:0.15151147048256564, jaccard:0.13593943388069474, accuracy:0.99635370796384, hd95:nan, asd:nan
dice:0.14868592487614285, jaccard:0.13439664008764976, accuracy:0.9962994544916182, hd95:nan, asd:nan
dice:0.15834488138744782, jaccard:0.14556595874857545, accuracy:0.9964405451540738, hd95:nan, asd:nan
dice:0.14898847499825876, jaccard:0.13440979935824565, accuracy:0.9964053120318068, hd95:nan, asd:nan
